NME, 48Ca, 76Ge, 82Se, 124Sn, 130Te, 136Xe
M_F , -0.25, -0.59, -0.55, -0.66, -0.67, -0.54
M_{GT}^{AA} , 1.08, 3.15, 2.97,  2.97, 2.97, 2.45
M_{GT}^{AP} , -0.38, -0.94, -0.89, -0.95, -0.97, -0.79
M_{GT}^{PP} , 0.13, 0.30, 0.28, 0.30, 0.31, 0.25
M_{GT}^{MM} , 0.10, 0.22, 0.20, 0.23, 0.23, 0.19
M_T^{AA} , -, -, -, -, -, -
M_T^{AP} , -0.08, -0.01, -0.01, 0.01, 0.01, 0.01
M_T^{PP} , 0.03, 0.00, 0.00, -0.01, -0.01, -0.01
M_T^{MM} , -0.01, 0.00, 0.00, 0.00, 0.00, 0.00
M_{Fsd}  , -26, -59, -55, -63, -65, -52
M^{AA}_{GTsd} , 85, 196, 183, 208, 214, 171
M^{AP}_{GTsd}, -42, -91, -84, -98, -101, -80
M^{PP}_{GTsd} , 16, 33, 31, 36, 37, 30
M^{AP}_{Tsd} , -12, -2, -2, 2, 3, 2
M^{PP}_{Tsd} , 5, 1, 1, -1, -1, -1
