PSFs,$^{238}$U,$^{232}$Th,$^{204}$Hg,$^{198}$Pt,$^{192}$Os,$^{186}$W,$^{176}$Yb,$^{170}$Er,$^{160}$Gd,$^{154}$Sm,$^{150}$Nd,$^{148}$Nd,$^{146}$Nd,$^{142}$Ce,$^{136}$Xe,$^{134}$Xe,$^{130}$Te,$^{128}$Te,$^{124}$Sn,$^{122}$Sn,$^{116}$Cd,$^{114}$Cd,$^{110}$Pd,$^{104}$Ru,$^{100}$Mo,$^{98}$Mo,$^{96}$Zr,$^{94}$Zr,$^{86}$Kr,$^{82}$Se,$^{80}$Se,$^{76}$Ge,$^{70}$Zn,$^{48}$Ca,$^{46}$Ca
$G_{01}$,6.957304898257917e-14,2.6980566638444093e-14,2.109868276450679e-15,1.2266732179459893e-14,1.3036604152229917e-15,1.5098484019002028e-15,6.174053314562368e-15,1.513566915122927e-15,1.3325317277878698e-14,4.404985694350758e-15,8.81869505152345e-14,1.3564566963309047e-14,1.9185200744851975e-17,4.559152632410951e-15,1.8800103728499793e-14,7.51588468616447e-16,1.80629689056021e-14,7.271030765846248e-16,1.1301173545614629e-14,9.394463542464995e-17,2.0620758074747635e-14,1.773649053676438e-16,5.7718647844957315e-15,1.2752158465624832e-15,1.8883405507218443e-14,6.8380232838400104e-18,2.417278480466608e-14,6.662824293486889e-16,6.797371415302683e-16,1.1477340113022192e-14,4.710289179617418e-18,2.611132278547687e-15,2.460716523204595e-16,2.625445539543828e-14,1.4997712150995967e-16
$G_{02}$,3.78941231328217e-14,7.309403713359444e-15,1.0764946204645126e-16,5.459213016604147e-15,6.221636255195239e-17,1.1453798520763894e-16,2.9597651110794103e-15,2.2946539668777727e-16,1.675061365734244e-14,2.821820667702518e-15,4.015261155270902e-13,2.104641796211581e-14,7.433259912715859e-21,3.775355794338898e-15,4.638760551216673e-14,1.9234511221898832e-16,4.6845558070093676e-14,2.0697091436250338e-16,2.4153382466657762e-14,3.546884898907233e-18,6.511154997682754e-14,1.6925430069718102e-17,9.546054164592325e-15,8.644451672994669e-16,6.796191629412832e-14,9.497539287687221e-21,1.0433766392219647e-13,3.4008262592584795e-16,4.2164273384722147e-16,3.963612991127198e-14,1.1391578318194285e-20,4.272234692102595e-15,9.150910097013456e-17,1.7115460680003377e-13,5.2771952438650206e-17
$G_{03}$,2.7549629637006182e-14,7.643684236783182e-15,2.424614949294904e-16,4.392520699266873e-15,1.4415109337520342e-16,2.1702919979440438e-16,2.2776427827727707e-15,3.164815057319952e-16,7.275969467231466e-15,1.836403712820239e-15,6.996676923565635e-14,7.937656220363747e-15,1.0640978317144741e-19,2.1064281993503377e-15,1.260472279099256e-14,2.0411792350787572e-16,1.2236661292780429e-14,2.0772779569417613e-16,7.211113429909134e-15,9.05593996921323e-18,1.4607085584064702e-14,2.8779331368217345e-17,3.374415220085422e-15,5.340209383355691e-16,1.363324443552686e-14,8.643542387137742e-20,1.8105505672340696e-14,2.459794064057733e-16,2.7089924300270946e-16,8.047276335316783e-15,8.474657408571916e-20,1.4769822504629393e-15,7.755984903016325e-17,2.0227324595593683e-14,4.4950529928430304e-17
$G_{04}$,1.1678459530528933e-14,4.057077966030847e-15,2.2629665202647215e-16,2.002782626957621e-15,1.376975332529994e-16,1.7706616152157692e-16,1.020689292991905e-15,2.049923270088756e-16,2.4972291270150737e-15,7.603294100594765e-16,1.83262856766042e-14,2.5997171812019097e-15,5.267727674101195e-19,8.147374990788862e-16,3.757080540493795e-15,1.1245512535677311e-16,3.624869313083943e-15,1.1088073719295441e-16,2.2342665967377305e-15,9.399517525236928e-18,4.199413353043833e-15,2.191279844429687e-17,1.1164024016454835e-15,2.228048483399895e-16,3.881854570462688e-15,2.7691608403487297e-19,5.023072407292921e-15,1.1198788780466645e-16,1.1766533014397076e-16,2.356625270854212e-15,2.247443893368804e-19,5.064245798951319e-16,3.9569031169607453e-17,5.574518999664187e-15,2.4071634381155347e-17
$G_{05}$,5.2275087913616995e-12,2.261872599163824e-12,2.028849130825503e-13,8.650863839395083e-13,1.2248033321004782e-13,1.3326172757858323e-13,4.0162805127313397e-13,1.1659055631894594e-13,6.618652935503866e-13,2.5105720377066025e-13,2.850741437009871e-12,6.138295953571216e-13,1.9907941944990013e-15,2.364560803539005e-13,6.902599378380111e-13,4.6437625780744063e-14,6.387652071268462e-13,4.3228644830118583e-14,4.1410534120445847e-13,7.003560787657713e-15,6.576918067168743e-13,1.1826825650364833e-14,2.1825077646217537e-13,5.862206088366206e-14,5.324102782901115e-13,5.568456119863086e-16,6.20283206966613e-13,3.0655325795929536e-14,2.798188307115947e-14,2.864961006338249e-13,3.296719818016889e-16,7.903712027913129e-14,1.0087605893252836e-14,3.909174467998632e-13,4.899986098057281e-15
$G_{06}$,1.4983783262226483e-11,6.650518924986256e-12,6.730322295603638e-13,2.9124992019685225e-12,4.27123806731253e-13,4.762168459641507e-13,1.4997276348906638e-12,4.508469285406496e-13,2.6661029364190157e-12,1.0503422128806479e-12,1.1909485757310307e-11,2.6210987016520605e-12,8.786052555246233e-15,1.051355578610954e-12,3.2267783813896475e-12,2.2330415623710627e-13,3.0902034854552954e-12,2.153235245440986e-13,2.0865962061014646e-12,3.6584007303355336e-14,3.4136065860934097e-12,6.4002184538321e-14,1.195083822072761e-12,3.391892280928727e-13,3.1146433941343537e-12,3.4578324300425697e-15,3.7722384682030206e-12,1.9458728306132832e-13,1.9542265029763435e-13,2.0326359281143683e-12,2.499133264527106e-15,6.046827763385069e-13,8.392157507688937e-14,4.2853081630707055e-12,5.887053158002983e-14
$G_{07}$,1.3117967278772786e-09,5.350818203121897e-10,4.620194761932589e-11,2.262821265035386e-10,2.841243720323743e-11,3.1689909299186156e-11,1.1035640426732965e-10,2.9484069081471546e-11,2.181733161326383e-10,7.49808925137851e-11,1.3609121775460056e-09,2.1760586942174385e-10,4.873431263245107e-13,7.55145466312085e-11,2.8403988278536933e-10,1.3194543725213073e-11,2.7117798894036166e-10,1.2588570596000482e-11,1.6980586734165752e-10,1.88008870486609e-12,3.088344001564433e-10,3.345380787453082e-12,8.773827995764744e-11,2.0289500559737515e-11,2.761798693363383e-10,1.5601860997940332e-13,3.478901220460545e-10,1.0576731867091553e-11,1.0242610924155724e-11,1.5883254950233546e-10,9.900153261045838e-14,3.647478561702903e-11,3.72279095343419e-12,3.3737322758678763e-10,2.0867489745789804e-12
$G_{08}$,2.3039736581658148e-10,9.139911004932802e-11,6.9750215918045635e-12,3.383296798966951e-11,4.080213063352014e-12,4.443733371256763e-12,1.4889437998755496e-11,3.826372902234476e-12,2.7480593451042988e-11,9.050198098617064e-12,1.681322515970274e-10,2.5925141266689108e-11,5.521652934154375e-14,8.595258937689151e-12,3.113454876997899e-11,1.380268110122793e-12,2.8760460179040332e-11,1.2720614526092996e-12,1.725451742492333e-11,1.802790141350075e-13,3.066042321181272e-11,3.1013326984195503e-13,8.185160465542817e-12,1.775959642884067e-12,2.4449778191294413e-11,1.2565199107342728e-14,2.97715788756215e-11,8.427197479439789e-13,7.436481120837503e-13,1.1645928189246237e-11,6.532172905572696e-15,2.449452196888905e-12,2.2630837001550888e-13,1.6566772624131594e-11,8.810524128634153e-14
$G_{09}$,1.8674111832500465e-09,7.831951255305237e-10,7.651179164643052e-11,3.7839868696729016e-10,4.9463828434911555e-11,5.65005626349067e-11,2.0451034571864072e-10,5.680144458805491e-11,4.331301631874718e-10,1.553322072084235e-10,2.7548992070088314e-09,4.567492925702494e-10,1.075328947535851e-12,1.6589661840716135e-10,6.48056816710004e-10,3.1537196416751376e-11,6.394679972892854e-10,3.1149336425959534e-11,4.179331416253279e-10,4.9019733992010525e-12,7.780370640814659e-10,9.022336264916531e-12,2.352097846043044e-10,5.796560552137034e-11,7.803178289640733e-10,4.843129546661758e-13,1.0168700691390544e-09,3.319541980806845e-11,3.528123714111797e-11,5.419110642920976e-10,3.751208100942812e-13,1.3586525832583956e-10,1.5315115024764507e-11,1.7196427748996468e-09,1.236244050361024e-11
$G_{010}$,2.7549629637006355e-14,7.643684236783198e-15,2.42461494929491e-16,4.39252069926689e-15,1.4415109337520389e-16,2.1702919979440376e-16,2.2776427827727656e-15,3.164815057319954e-16,7.275969467231474e-15,1.8364037128202414e-15,6.996676923565632e-14,7.937656220363743e-15,1.064097831714484e-19,2.106428199350334e-15,1.260472279099259e-14,2.0411792350787594e-16,1.2236661292780433e-14,2.0772779569417613e-16,7.211113429909137e-15,9.055939969213258e-18,1.460708558406471e-14,2.877933136821736e-17,3.3744152200854224e-15,5.340209383355691e-16,1.3633244435526893e-14,8.64354238713766e-20,1.8105505672340725e-14,2.459794064057732e-16,2.7089924300270966e-16,8.04727633531678e-15,8.47465740857195e-20,1.4769822504629389e-15,7.755984903016325e-17,2.022732459559375e-14,4.495052992843033e-17
$G_{011}$,1.167845953052805e-14,4.057077966030396e-15,2.26296652026451e-16,2.0027826269576286e-15,1.3769753325302046e-16,1.7706616152158771e-16,1.020689292991878e-15,2.0499232700887663e-16,2.4972291270150583e-15,7.6032941005948305e-16,1.832628567660433e-14,2.5997171812018593e-15,5.26772767410354e-19,8.147374990788827e-16,3.75708054049383e-15,1.1245512535677316e-16,3.624869313083967e-15,1.108807371929553e-16,2.2342665967377467e-15,9.399517525237839e-18,4.199413353043819e-15,2.1912798444296317e-17,1.1164024016455026e-15,2.228048483399873e-16,3.881854570462666e-15,2.7691608403486835e-19,5.023072407292861e-15,1.1198788780466684e-16,1.1766533014397274e-16,2.356625270854224e-15,2.247443893368535e-19,5.064245798951309e-16,3.9569031169606646e-17,5.574518999664168e-15,2.4071634381155513e-17
